Isolate Rep,Isolate.Name,95%OTU,99%OTU,Total Arnold isolates,Total Blast Hits,Arnold North America,"USA, Canada",Arnold South and Central America,"Mexico, S. & C.  America",Arnold Europe,Europe,Arnold Asia,Asia,Arnold Other,Other,Arnold Angiospermae,Angiospermae,Arnold Gymnosperm,"""Gymnosperm""",Arnold Seed-free vascular plants,Seed-free vascular plants,Arnold non-vascular plants,Non-vascular plants,Arnold Lichen,Lichen ,Arnold Living leaves/stem,Living leaves/stem,Arnold Senescent Leaves,Senescent Leaves,Arnold Leaf Litter,Leaf Litter,"Arnold Wood, bark","Wood, bark",Arnold Root,Root,Arnold Seed,Seed,Arnold Soil,Soil,Arnold insect-associated,Insect-associated,"Arnold Fruit, inflorescence","Fruit, inflorescence"
AK0128,AK0128,31,8,437,23,437,6,0,1,0,15,0,1,0,0,95,18,23,2,2,0,88,1,229,0,149,5,20,0,39,0,0,2,0,0,0,0,0,1,0,0,0,0
AK0222,AK0222,31,8,437,23,437,6,0,1,0,15,0,1,0,0,95,18,23,2,2,0,88,1,229,0,149,5,20,0,39,0,0,2,0,0,0,0,0,1,0,0,0,0
AK0226,AK0226,200,360,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK0995,AK0995,110,150,36,1,36,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,1,0,30,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
AK1016,AK1016,31,8,437,23,437,6,0,1,0,15,0,1,0,0,95,18,23,2,2,0,88,1,229,0,149,5,20,0,39,0,0,2,0,0,0,0,0,1,0,0,0,0
AK1116,AK1116,91,319,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK1383,AK1383,137,394,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK1471,AK1471,105,388,7,1,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AK1595,AK1595,98,304,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphfush,Amphirosellinia fushanensis,167,168,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphnigr,Amphirosellinia nigrospora,88,383,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annubove,Annulohypoxylon bovei var. microspora,74,22,1,3,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annucoha,Annulohypoxylon cohaerens,250,161,1,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annuelev,Annulohypoxylon elevatidiscus,NA,NA,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annuilan,Annulohypoxylon ilanense,NA,NA,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annuminu,Annulohypoxylon minutellum,NA,NA,1,NA,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annumori1,Annulohypoxylon moriforme var. microdiscus,122,149,1,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Annumori2,Annulohypoxylon moriforme CBS 123579,124,152,1,2,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Annumult2,Annulohypoxylon multiforme YMJ 317 ,NA,NA,1,NA,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AnnumultA,Annulohypoxylon multiforme var. alaskense,NA,NA,1,NA,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annunite1,Annulohypoxylon nitens 91022108,77,377,1,5,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Annunite2,Annulohypoxylon nitens CBS 120705,235,376,1,18,0,1,0,2,0,0,1,12,0,0,0,11,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Annunite3,Annulohypoxylon nitens YMJ 293,NA,NA,1,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annusp1,Annulohypoxylon sp.,NA,NA,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annusp2,Annulohypoxylon moriforme var. microdiscum,122,149,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annusqua,Annulohypoxylon squamulosum,203,363,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annustyg,Annulohypoxylon stygium CM-AT-010,121,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annustyg2,Annulohypoxylon stygium YMJ 90041409,NA,NA,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annustyg3,Annulohypoxylon stygium YMJ 90081906,NA,NA,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annustyg4,Annulohypoxylon stygium var. annulatum YMJ 91042205,NA,NA,1,NA,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annustyg5,Annulohypoxylon stygium var. annulatum YMJ 3,NA,NA,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annuurce,Annulohypoxylon urceolatum,NA,NA,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
