Isolate Rep,95%OTU,Total Arnold isolates,Total Blast Hits,Arnold North America,North America,Arnold South and Central America,South and Central America,Arnold Europe,Europe,Arnold Asia,Asia,Arnold Africa,Africa,Arnold Oceania,Oceania,Arnold Boreal/Subarctic,Boreal/Subarctic,Arnold Temperate,Temperate,Arnold Subtropical,Subtropical,Arnold Tropical,Tropical,Arnold Desert,Desert,Arnold Angiospermae,Angiospermae,Arnold Pinophyta,Pinophyta,Arnold Ginkgophyta,Ginkgophyta,Arnold Pteridophyta,Pteridophyta,Arnold Marchantiophyta,Marchantiophyta,Arnold Lycophyta,Lycophyta,Arnold Bryophyta,Bryophyta,Arnold Rhodophyta,Rhodophyta,Arnold Lichen,Lichen ,Arnold Living leaves/stem,Living leaves/stem,Arnold Senescent Leaves,Senescent Leaves,Arnold Leaf Litter,Leaf Litter,Arnold Seed,Seed,Arnold Root,Root,Arnold Wood/Bark,Wood/Bark,Arnold Soil,Soil,Arnold insect nest,insect nest
FL0016,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0031,8,36,4,36,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,4,0,0,0,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,29,0,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
NC0528,9,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL1419,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0662,12,1,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FL0490,13,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FL1170,15,1,17,1,0,0,14,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,16,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC1498,19,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
FL1152,22,21,35,21,0,0,25,0,1,0,3,0,0,0,0,0,0,3,1,18,1,0,27,0,0,2,31,3,1,0,0,0,1,0,0,0,0,0,0,0,0,16,0,1,7,2,0,2,0,0,6,0,0,0,1,0,0,0,0
FL0660,26,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
NC0708,27,1,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AK0128,31,437,23,437,6,0,1,0,15,0,1,0,0,0,0,429,6,3,8,5,0,0,1,0,1,95,18,23,2,0,0,0,0,0,1,2,0,88,0,0,0,229,0,149,5,20,0,39,0,0,0,0,0,0,2,0,1,0,0
AZ0398,35,74,1,74,0,0,0,0,0,0,0,0,0,0,0,5,0,67,0,2,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,62,0,6,10,2,0,4,0,0,0,0,1,0,3,0,0,0,0
AZ1047,38,2,4,2,0,0,0,0,1,0,0,0,0,0,3,0,0,2,4,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FL1651,39,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NC1622,42,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL1179,49,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0491,50,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC0985,58,45,2,45,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,30,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,1,0,6,0,0,0,31,0,8,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0
FL0542,66,1,33,1,0,0,11,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,26,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,7,0,4,0,0
NC0962,73,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0641,83,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL0916,84,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NC1633,89,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK1116,91,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL1289,95,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK1595,98,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AK1471,105,7,1,7,1,0,0,0,0,0,0,0,0,0,0,2,0,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AK0995,110,36,1,36,0,0,0,0,0,0,0,0,0,0,1,36,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,30,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
FL0638,113,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL1030,118,6,8,6,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,1,0,0,1,0,2,0,4,0,0,0,0
FL1272,120,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
FL0470,121,3,69,3,0,0,32,0,1,0,26,0,0,0,1,0,0,0,1,3,20,0,36,0,0,0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,20,0,0,0,0,0,5,0,2,0,2,0,1,0,1
NC0429,123,103,1,103,0,0,0,0,1,0,0,0,0,0,0,0,0,35,1,68,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0,1,0,26,0,0,0,68,0,27,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0
FL1015,128,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
