"SEQ_ID","REF_TITLE","country","db_xref","host","mol_type","note","organism","specimen_voucher","collected_by","collection_date","identified_by","isolate","isolation_source","culture_collection","strain","clone","environmental_sample","lat_lon","tissue_type","altitude","variety"
"AF176960","Molecular and morphological investigation of Daldinia in northern Europe","Russia: Kamchatka","taxon:103429","Betula sp.","genomic DNA","Daldinia loculata (Lev.) Sacc. host burnt by fire","Daldinia loculata","TL 4630 (C)","","","","","","","","","","","","",""
"AF176961","Molecular and morphological investigation of Daldinia in northern Europe","Russia: Kamchatka","taxon:103429","Betula sp.","genomic DNA","Daldinia loculata (Lev.) Sacc. host burnt by fire","Daldinia loculata","TL 4612 (C)","","","","","","","","","","","","",""
"AF176962","Molecular and morphological investigation of Daldinia in northern Europe","Russia: Kamchatka","taxon:103429","Betula sp.","genomic DNA","Daldinia loculata (Lev.) Sacc. host burnt by fire","Daldinia loculata","TL 4610 (C)","","","","","","","","","","","","",""
"AF176963","Molecular and morphological investigation of Daldinia in northern Europe","Russia: Kamchatka","taxon:103429","Betula sp.","genomic DNA","Daldinia loculata (Lev.) Sacc. host burnt by fire","Daldinia loculata","TL 4701 (C)","","","","","","","","","","","","",""
"AF176964","Molecular and morphological investigation of Daldinia in northern Europe","Russia: Kamchatka","taxon:103429","Betula sp.","genomic DNA","Daldinia loculata (Lev.) Sacc. host burnt by fire","Daldinia loculata","TL 4613 (C)","","","","","","","","","","","","",""
"AF176965","Molecular and morphological investigation of Daldinia in northern Europe","United Kingdom: Scotland","taxon:103429","Betula sp.","genomic DNA","Daldinia loculata (Lev.) Sacc. host burnt by fire","Daldinia loculata","BJ Coppins 10274 (C)","","","","","","","","","","","","",""
"AF176966","Molecular and morphological investigation of Daldinia in northern Europe","Sweden: Gotland","taxon:103429","Betula sp.","genomic DNA","Daldinia loculata (Lev.) Sacc. host burnt by fire","Daldinia loculata","HJ 104","","","","","","","","","","","","",""
"AF176967","Molecular and morphological investigation of Daldinia in northern Europe","Sweden: Uppland","taxon:103429","Betula sp.","genomic DNA","Daldinia loculata (Lev.) Sacc. host burnt by fire","Daldinia loculata","HJ 105","","","","","","","","","","","","",""
"AF176968","Molecular and morphological investigation of Daldinia in northern Europe","Sweden: Lappland","taxon:103429","Betula sp.","genomic DNA","Daldinia loculata (Lev.) Sacc. host burnt by fire","Daldinia loculata","HJ 106","","","","","","","","","","","","",""
"AF176969","Molecular and morphological investigation of Daldinia in northern Europe","Sweden: Soedermanland","taxon:103429","Sorbus sp.","genomic DNA","Daldinia loculata (Lev.) Sacc. host burnt by fire","Daldinia loculata","HJ 107","","","","","","","","","","","","",""
"AF176982","Molecular and morphological investigation of Daldinia in northern Europe","United Kingdom: Scotland","taxon:103428","Fagus sp.","genomic DNA","Daldinia grandis Child; host burnt by fire","Daldinia grandis","B.J. Coppins 8630 (E)","","","","","","","","","","","","",""
"AM407726","Daldinia in Czech Republic","Czech Republic:Moravia","taxon:407143","Betula pendula","genomic DNA","","Daldinia cf. loculatoides PRM885050","PRM885050","C. Kosina","17-Apr-1995","M. Stadler","","","","","","","","","",""
"AY315403","Endophytic Xylaria (Xylariaceae) among liverworts and angiosperms: phylogenetics, distribution, and symbiosis","","taxon:246476","Bazzania sp. (specimen voucher Davis CD173 (DUKE))","genomic DNA","","Daldinia sp. F16","","","","","F16","","","","","","","","",""
"AY787695","Wood-inhabiting fungi in stems of Fraxinus excelsior in declining ash stands of northern Lithuania, with particular reference to Armillaria cepistipes","Lithuania","taxon:103429","Fraxinus excelsior","genomic DNA","","Daldinia loculata","olrim962 (SUAS)","","","","","xylem in root collar of declining Fraxinus excelsior","","","","","","","",""
"DQ979621","Phylogenetic relationships, host affinity, and geographic structure of boreal and arctic endophytes from three major plant lineages","","taxon:410823","Dryas integrifolia","genomic DNA","","fungal endophyte","Robert L. Gilbertson Mycological Herbarium (ARIZ), University of Arizona","AE Arnold","","","4295","asymptomatic photosynthetic tissue","","","","","","","",""
"DQ979622","Phylogenetic relationships, host affinity, and geographic structure of boreal and arctic endophytes from three major plant lineages","","taxon:410823","Dryas integrifolia","genomic DNA","","fungal endophyte","Robert L. Gilbertson Mycological Herbarium (ARIZ), University of Arizona","AE Arnold","","","4296","asymptomatic photosynthetic tissue","","","","","","","",""
"DQ979623","Phylogenetic relationships, host affinity, and geographic structure of boreal and arctic endophytes from three major plant lineages","","taxon:410823","Dryas integrifolia","genomic DNA","","fungal endophyte","Robert L. Gilbertson Mycological Herbarium (ARIZ), University of Arizona","AE Arnold","","","4298","asymptomatic photosynthetic tissue","","","","","","","",""
"EF026145","ITS sequences from Xylariaceae and other pyrenomycetes","United Kingdom","taxon:103429","","genomic DNA","authority: Daldinia loculata (Lev.) Sacc.","Daldinia loculata","","","","","436","","","","","","","","",""
"FJ025282","Endophytic Fungi of Broad-leaves Plants in Dongling Mountain","","taxon:559416","","genomic DNA","","fungal endophyte sp. D5-1B1-3-1","","","","","D5-1B1-3-1","","","","","","","","",""
"GQ153029","Effects of H2S pollution and moisture gradients on fungal endophytes of the Chuska Mountains, Navajo Nation","","taxon:652224","Juniperus scopulorum","genomic DNA","","Sordariomycetes sp. DC2362","Robert L. Gilbertson Mycological Herbarium, ARIZ (University of Arizona) AEA DC2362","Barbara Klein, Mary Shimabukuro, A. Elizabeth Arnold, and undergraduate students at Dine College","","","","asymptomatic photosynthetic tissue","","","","","","","",""
"GQ411513","Assembly history dictates ecosystem functioning: evidence from wood decomposer communities","New Zealand","taxon:669508","","genomic DNA","culture grown from specimen PDD 91744","Daldinia sp. ICMP 17078","","","","","","","ICMP:17078","","","","","","",""
"HQ671314","Polyketides produced by Daldinia loculata cultured from Northern Manitoba","","taxon:103429","","genomic DNA","","Daldinia loculata","","","","","","","","AKN1-43.DF","","","","","",""
"JF340281","Heart-rot and associated fungi in Alnus glutinosa stands in Latvia","Latvia","taxon:103429","Alnus glutinosa","genomic DNA","PCR_primers=fwd_name: ITS1F, rev_name: ITS4","Daldinia loculata","","","","","","wood","","M96","","","","","",""
"JX658458","A polyphasic taxonomy of Daldinia (Xylariaceae)","Canada","taxon:1358883","Malus sp.","genomic DNA","","Daldinia gelatinosa","","","","","","","UAMH:7406","","","","","","",""
"JX658459","A polyphasic taxonomy of Daldinia (Xylariaceae)","Canada","taxon:1358886","Populus sp.","genomic DNA","","Daldinia loculatoides","","","","","","","UAMH:9035","","","","","","",""
"JX658521","A polyphasic taxonomy of Daldinia (Xylariaceae)","France: La Reunion","taxon:1364923","","genomic DNA","","Daldinia sp. DP-2013c","","","","","","","CBS:119995","CBS 119995","","","","","",""
